,"Origin stop, Destination stop",Driving distance,Driving time,Driving minute
0,"(['42.40377', '-82.18401'], ['42.40422', '-82.19487'])",1.7 km,4 mins,4
1,"(['42.40377', '-82.18401'], ['42.333545', '-82.097825'])",10.7 km,11 mins,11
2,"(['42.40377', '-82.18401'], ['42.27949', '-82.03172'])",18.8 km,17 mins,17
3,"(['42.40377', '-82.18401'], ['42.24547', '-82.10288'])",25.3 km,22 mins,22
4,"(['42.40377', '-82.18401'], ['42.27383', '-82.18133'])",20.4 km,18 mins,18
5,"(['42.40377', '-82.18401'], ['42.30518', '-82.21993'])",16.2 km,16 mins,16
6,"(['42.40377', '-82.18401'], ['42.24096', '-82.23278'])",25.9 km,23 mins,23
7,"(['42.40377', '-82.18401'], ['42.24942', '-82.43288'])",28.5 km,25 mins,25
8,"(['42.40377', '-82.18401'], ['42.25335', '-82.43264'])",27.6 km,25 mins,25
9,"(['42.40377', '-82.18401'], ['42.25423', '-82.43751'])",27.7 km,26 mins,26
10,"(['42.40377', '-82.18401'], ['42.25622', '-82.43235'])",27.2 km,25 mins,25
11,"(['42.40377', '-82.18401'], ['42.25802', '-82.43223'])",27.0 km,25 mins,25
12,"(['42.40377', '-82.18401'], ['42.26107', '-82.43206'])",26.9 km,24 mins,24
13,"(['42.40377', '-82.18401'], ['42.263298', '-82.436767'])",27.2 km,25 mins,25
14,"(['42.40377', '-82.18401'], ['42.262881', '-82.436405'])",27.0 km,25 mins,25
15,"(['42.40377', '-82.18401'], ['42.26342', '-82.429899'])",26.5 km,23 mins,23
16,"(['42.40377', '-82.18401'], ['42.399031', '-82.194932'])",1.3 km,4 mins,4
17,"(['42.40422', '-82.19487'], ['42.333545', '-82.097825'])",11.9 km,13 mins,13
18,"(['42.40422', '-82.19487'], ['42.27949', '-82.03172'])",20.1 km,19 mins,19
19,"(['42.40422', '-82.19487'], ['42.24547', '-82.10288'])",25.2 km,23 mins,23
20,"(['42.40422', '-82.19487'], ['42.27383', '-82.18133'])",20.2 km,19 mins,19
21,"(['42.40422', '-82.19487'], ['42.30518', '-82.21993'])",15.5 km,16 mins,16
22,"(['42.40422', '-82.19487'], ['42.24096', '-82.23278'])",25.8 km,22 mins,22
23,"(['42.40422', '-82.19487'], ['42.24942', '-82.43288'])",28.2 km,24 mins,24
24,"(['42.40422', '-82.19487'], ['42.25335', '-82.43264'])",27.3 km,24 mins,24
25,"(['42.40422', '-82.19487'], ['42.25423', '-82.43751'])",27.5 km,25 mins,25
26,"(['42.40422', '-82.19487'], ['42.25622', '-82.43235'])",27.0 km,24 mins,24
27,"(['42.40422', '-82.19487'], ['42.25802', '-82.43223'])",26.8 km,23 mins,23
28,"(['42.40422', '-82.19487'], ['42.26107', '-82.43206'])",26.7 km,23 mins,23
29,"(['42.40422', '-82.19487'], ['42.263298', '-82.436767'])",27.0 km,24 mins,24
30,"(['42.40422', '-82.19487'], ['42.262881', '-82.436405'])",26.8 km,23 mins,23
31,"(['42.40422', '-82.19487'], ['42.26342', '-82.429899'])",26.2 km,22 mins,22
32,"(['42.40422', '-82.19487'], ['42.399031', '-82.194932'])",0.8 km,2 mins,2
33,"(['42.333545', '-82.097825'], ['42.27949', '-82.03172'])",8.2 km,6 mins,6
34,"(['42.333545', '-82.097825'], ['42.24547', '-82.10288'])",14.7 km,11 mins,11
35,"(['42.333545', '-82.097825'], ['42.27383', '-82.18133'])",9.7 km,7 mins,7
36,"(['42.333545', '-82.097825'], ['42.30518', '-82.21993'])",14.3 km,11 mins,11
37,"(['42.333545', '-82.097825'], ['42.24096', '-82.23278'])",15.3 km,11 mins,11
38,"(['42.333545', '-82.097825'], ['42.24942', '-82.43288'])",32.4 km,23 mins,23
39,"(['42.333545', '-82.097825'], ['42.25335', '-82.43264'])",32.9 km,24 mins,24
40,"(['42.333545', '-82.097825'], ['42.25423', '-82.43751'])",33.4 km,25 mins,25
41,"(['42.333545', '-82.097825'], ['42.25622', '-82.43235'])",33.2 km,24 mins,24
42,"(['42.333545', '-82.097825'], ['42.25802', '-82.43223'])",33.4 km,25 mins,25
43,"(['42.333545', '-82.097825'], ['42.26107', '-82.43206'])",32.8 km,25 mins,25
44,"(['42.333545', '-82.097825'], ['42.263298', '-82.436767'])",34.7 km,26 mins,26
45,"(['42.333545', '-82.097825'], ['42.262881', '-82.436405'])",34.5 km,25 mins,25
46,"(['42.333545', '-82.097825'], ['42.26342', '-82.429899'])",34.0 km,24 mins,24
47,"(['42.333545', '-82.097825'], ['42.399031', '-82.194932'])",11.6 km,12 mins,12
48,"(['42.27949', '-82.03172'], ['42.24547', '-82.10288'])",7.3 km,5 mins,5
49,"(['42.27949', '-82.03172'], ['42.27383', '-82.18133'])",16.0 km,11 mins,11
50,"(['42.27949', '-82.03172'], ['42.30518', '-82.21993'])",20.7 km,15 mins,15
51,"(['42.27949', '-82.03172'], ['42.24096', '-82.23278'])",21.0 km,15 mins,15
52,"(['42.27949', '-82.03172'], ['42.24942', '-82.43288'])",38.2 km,27 mins,27
53,"(['42.27949', '-82.03172'], ['42.25335', '-82.43264'])",38.6 km,28 mins,28
54,"(['42.27949', '-82.03172'], ['42.25423', '-82.43751'])",39.2 km,29 mins,29
55,"(['42.27949', '-82.03172'], ['42.25622', '-82.43235'])",38.9 km,28 mins,28
56,"(['42.27949', '-82.03172'], ['42.25802', '-82.43223'])",39.1 km,28 mins,28
57,"(['42.27949', '-82.03172'], ['42.26107', '-82.43206'])",38.5 km,29 mins,29
58,"(['42.27949', '-82.03172'], ['42.263298', '-82.436767'])",39.6 km,31 mins,31
59,"(['42.27949', '-82.03172'], ['42.262881', '-82.436405'])",39.4 km,30 mins,30
60,"(['42.27949', '-82.03172'], ['42.26342', '-82.429899'])",38.9 km,29 mins,29
61,"(['42.27949', '-82.03172'], ['42.399031', '-82.194932'])",19.8 km,18 mins,18
62,"(['42.24547', '-82.10288'], ['42.27383', '-82.18133'])",8.7 km,6 mins,6
63,"(['42.24547', '-82.10288'], ['42.30518', '-82.21993'])",13.4 km,10 mins,10
64,"(['42.24547', '-82.10288'], ['42.24096', '-82.23278'])",13.7 km,10 mins,10
65,"(['42.24547', '-82.10288'], ['42.24942', '-82.43288'])",30.9 km,22 mins,22
66,"(['42.24547', '-82.10288'], ['42.25335', '-82.43264'])",31.3 km,23 mins,23
67,"(['42.24547', '-82.10288'], ['42.25423', '-82.43751'])",31.9 km,24 mins,24
68,"(['42.24547', '-82.10288'], ['42.25622', '-82.43235'])",31.7 km,23 mins,23
69,"(['42.24547', '-82.10288'], ['42.25802', '-82.43223'])",31.9 km,23 mins,23
70,"(['42.24547', '-82.10288'], ['42.26107', '-82.43206'])",31.2 km,24 mins,24
71,"(['42.24547', '-82.10288'], ['42.263298', '-82.436767'])",32.3 km,25 mins,25
72,"(['42.24547', '-82.10288'], ['42.262881', '-82.436405'])",32.1 km,25 mins,25
73,"(['42.24547', '-82.10288'], ['42.26342', '-82.429899'])",31.6 km,23 mins,23
74,"(['42.24547', '-82.10288'], ['42.399031', '-82.194932'])",24.4 km,21 mins,21
75,"(['42.27383', '-82.18133'], ['42.30518', '-82.21993'])",4.7 km,4 mins,4
76,"(['42.27383', '-82.18133'], ['42.24096', '-82.23278'])",5.7 km,5 mins,5
77,"(['42.27383', '-82.18133'], ['42.24942', '-82.43288'])",22.9 km,17 mins,17
78,"(['42.27383', '-82.18133'], ['42.25335', '-82.43264'])",23.3 km,17 mins,17
79,"(['42.27383', '-82.18133'], ['42.25423', '-82.43751'])",23.9 km,19 mins,19
80,"(['42.27383', '-82.18133'], ['42.25622', '-82.43235'])",23.6 km,18 mins,18
81,"(['42.27383', '-82.18133'], ['42.25802', '-82.43223'])",23.8 km,18 mins,18
82,"(['42.27383', '-82.18133'], ['42.26107', '-82.43206'])",23.2 km,18 mins,18
83,"(['42.27383', '-82.18133'], ['42.263298', '-82.436767'])",24.3 km,20 mins,20
84,"(['42.27383', '-82.18133'], ['42.262881', '-82.436405'])",24.1 km,19 mins,19
85,"(['42.27383', '-82.18133'], ['42.26342', '-82.429899'])",23.6 km,18 mins,18
86,"(['42.27383', '-82.18133'], ['42.399031', '-82.194932'])",19.4 km,17 mins,17
87,"(['42.30518', '-82.21993'], ['42.24096', '-82.23278'])",10.3 km,8 mins,8
88,"(['42.30518', '-82.21993'], ['42.24942', '-82.43288'])",22.7 km,17 mins,17
89,"(['42.30518', '-82.21993'], ['42.25335', '-82.43264'])",23.1 km,18 mins,18
90,"(['42.30518', '-82.21993'], ['42.25423', '-82.43751'])",23.7 km,19 mins,19
91,"(['42.30518', '-82.21993'], ['42.25622', '-82.43235'])",23.4 km,18 mins,18
92,"(['42.30518', '-82.21993'], ['42.25802', '-82.43223'])",23.6 km,18 mins,18
93,"(['42.30518', '-82.21993'], ['42.26107', '-82.43206'])",22.7 km,18 mins,18
94,"(['42.30518', '-82.21993'], ['42.263298', '-82.436767'])",23.0 km,19 mins,19
95,"(['42.30518', '-82.21993'], ['42.262881', '-82.436405'])",22.8 km,18 mins,18
96,"(['42.30518', '-82.21993'], ['42.26342', '-82.429899'])",22.2 km,17 mins,17
97,"(['42.30518', '-82.21993'], ['42.399031', '-82.194932'])",14.7 km,14 mins,14
98,"(['42.24096', '-82.23278'], ['42.24942', '-82.43288'])",17.2 km,12 mins,12
99,"(['42.24096', '-82.23278'], ['42.25335', '-82.43264'])",17.6 km,13 mins,13
100,"(['42.24096', '-82.23278'], ['42.25423', '-82.43751'])",18.2 km,14 mins,14
101,"(['42.24096', '-82.23278'], ['42.25622', '-82.43235'])",17.9 km,13 mins,13
102,"(['42.24096', '-82.23278'], ['42.25802', '-82.43223'])",18.1 km,13 mins,13
103,"(['42.24096', '-82.23278'], ['42.26107', '-82.43206'])",17.5 km,13 mins,13
104,"(['42.24096', '-82.23278'], ['42.263298', '-82.436767'])",18.6 km,15 mins,15
105,"(['42.24096', '-82.23278'], ['42.262881', '-82.436405'])",18.4 km,15 mins,15
106,"(['42.24096', '-82.23278'], ['42.26342', '-82.429899'])",17.9 km,13 mins,13
107,"(['42.24096', '-82.23278'], ['42.399031', '-82.194932'])",25.0 km,20 mins,20
108,"(['42.24942', '-82.43288'], ['42.25335', '-82.43264'])",0.4 km,1 min,1
109,"(['42.24942', '-82.43288'], ['42.25423', '-82.43751'])",1.0 km,2 mins,2
110,"(['42.24942', '-82.43288'], ['42.25622', '-82.43235'])",0.8 km,1 min,1
111,"(['42.24942', '-82.43288'], ['42.25802', '-82.43223'])",1.0 km,1 min,1
112,"(['42.24942', '-82.43288'], ['42.26107', '-82.43206'])",1.3 km,2 mins,2
113,"(['42.24942', '-82.43288'], ['42.263298', '-82.436767'])",2.1 km,4 mins,4
